"gene"	"xref"	"sub06"	"sub07"	"sub08"	"sub21"	"sub23"	"sub24"
"AT1G01010"	839580	0	0	6	6	3	10
"AT1G01020"	839569	2	4	3	1	2	1
"AT1G01020"	839569	2	4	3	1	2	1
"AT1G01020"	839569	2	4	3	1	2	1
"AT1G01020"	839569	2	4	3	1	2	1
"AT1G01020"	839569	2	4	3	1	2	1
"AT1G01020"	839569	2	4	3	1	2	1
"AT1G03987"	NA	0	0	0	0	0	0
"AT1G01030"	839321	0	0	0	0	2	1
"AT1G01030"	839321	0	0	0	0	2	1
"AT1G03993"	NA	0	0	0	0	0	0
"AT1G01040"	839574	17	17	22	3	3	4
"AT1G01040"	839574	17	17	22	3	3	4
"AT1G01046"	NA	0	0	0	0	0	0
"ath-miR838"	NA	0	0	0	0	0	0
"AT1G01050"	839579	16	23	15	21	22	30
"AT1G01050"	839579	16	23	15	21	22	30
"AT1G03997"	NA	0	0	0	0	0	0
"AT1G01060"	839341	0	0	1	0	0	2
"AT1G01060"	839341	0	0	1	0	0	2
"AT1G01060"	839341	0	0	1	0	0	2
"AT1G01060"	839341	0	0	1	0	0	2
"AT1G01060"	839341	0	0	1	0	0	2
"AT1G01060"	839341	0	0	1	0	0	2
"AT1G01060"	839341	0	0	1	0	0	2
"AT1G01060"	839341	0	0	1	0	0	2
"AT1G01070"	839550	0	1	2	1	2	4
"AT1G01070"	839550	0	1	2	1	2	4
"AT1G04003"	NA	0	0	0	0	0	0
"AT1G01080"	839463	51	28	26	25	25	21
"AT1G01080"	839463	51	28	26	25	25	21
"AT1G01080"	839463	51	28	26	25	25	21
"AT1G01090"	839429	108	90	103	30	46	32
"AT1G01100"	839410	141	115	158	228	177	207
"AT1G01100"	839410	141	115	158	228	177	207
"AT1G01100"	839410	141	115	158	228	177	207
"AT1G01100"	839410	141	115	158	228	177	207
"AT1G01110"	839394	4	3	1	3	2	3
"AT1G01110"	839394	4	3	1	3	2	3
"AT1G01120"	839395	52	51	42	24	15	12
"AT1G01130"	839359	1	1	1	3	0	0
"AT1G01140"	839349	32	22	57	30	14	52
"AT1G01140"	839349	32	22	57	30	14	52
"AT1G01140"	839349	32	22	57	30	14	52
"AT1G01150"	839294	0	0	0	0	0	1
"AT1G01150"	839294	0	0	0	0	0	1
"AT1G01150"	839294	0	0	0	0	0	1
"AT1G01160"	839278	6	11	12	4	12	16
"AT1G01160"	839278	6	11	12	4	12	16
"AT1G04007"	NA	0	0	0	0	0	0
"AT1G01170"	839263	32	19	22	25	37	31
"AT1G01170"	839263	32	19	22	25	37	31
"AT1G04013"	NA	0	0	0	0	0	0
"AT1G01180"	839239	3	2	7	10	6	17
"AT1G08765"	NA	0	0	0	0	0	0
"AT1G01183"	NA	0	0	0	0	0	0
"ath-miR165a-3p"	NA	0	0	0	0	0	0
"ath-miR165a-5p"	NA	0	0	0	0	0	0
"AT1G01190"	839233	2	2	0	5	4	11
"AT1G01190"	839233	2	2	0	5	4	11
"AT1G01200"	839493	1	0	3	0	1	1
"AT1G01210"	839481	0	2	0	1	3	3
"AT1G01210"	839481	0	2	0	1	3	3
"AT1G01210"	839481	0	2	0	1	3	3
"AT1G04017"	NA	0	0	0	0	0	0
"AT1G04023"	NA	0	0	0	0	0	0
"AT1G01220"	839420	12	14	22	4	3	8
"AT1G01220"	839420	12	14	22	4	3	8
"AT1G01220"	839420	12	14	22	4	3	8
"AT1G01220"	839420	12	14	22	4	3	8
"AT1G01220"	839420	12	14	22	4	3	8
"AT1G01220"	839420	12	14	22	4	3	8
"AT1G01220"	839420	12	14	22	4	3	8
"AT1G01220"	839420	12	14	22	4	3	8
"AT1G01225"	839358	1	3	0	0	2	0
"AT1G01230"	839331	12	11	17	12	18	20
"AT1G01240"	839274	29	16	37	11	14	15
"AT1G01240"	839274	29	16	37	11	14	15
"AT1G01240"	839274	29	16	37	11	14	15
"AT1G01240"	839274	29	16	37	11	14	15
"AT1G01240"	839274	29	16	37	11	14	15
"AT1G01250"	839322	0	1	0	4	7	1
"AT1G01260"	839545	9	5	16	5	2	8
"AT1G01260"	839545	9	5	16	5	2	8
"AT1G01260"	839545	9	5	16	5	2	8
"AT1G01270"	NA	0	0	0	0	0	0
"AT1G01280"	839470	0	0	0	0	0	0
"AT1G01290"	839445	2	4	9	2	2	1
"AT1G01290"	839445	2	4	9	2	2	1
"AT1G01300"	839375	49	47	52	19	29	45
"AT1G01305"	6240609	0	0	0	0	0	0
"AT1G01310"	839333	0	0	0	0	0	0
"AT1G01320"	839293	173	110	121	83	52	57
"AT1G01320"	839293	173	110	121	83	52	57
"AT1G01320"	839293	173	110	121	83	52	57
"AT1G01335"	28716020	0	0	0	0	0	0
"AT1G01340"	838832	3	6	13	3	0	1
"AT1G01340"	838832	3	6	13	3	0	1
"AT1G01350"	838964	9	12	13	4	3	8
"AT1G01355"	6241268	0	0	0	0	0	0
"AT1G01355"	6241268	0	0	0	0	0	0
"AT1G01355"	6241268	0	0	0	0	0	0
"AT1G01360"	838452	7	4	12	9	9	9
"AT1G01370"	839104	4	0	4	3	2	3
"AT1G01370"	839104	4	0	4	3	2	3
"AT1G01370"	839104	4	0	4	3	2	3
"AT1G01370"	839104	4	0	4	3	2	3
"AT1G01380"	838096	0	0	0	0	1	0
"AT1G01380"	838096	0	0	0	0	1	0
"AT1G01380"	838096	0	0	0	0	1	0
"AT1G01390"	837790	1	2	0	2	3	8
"AT1G01390"	837790	1	2	0	2	3	8
"AT1G01400"	837049	0	0	0	0	0	0
"AT1G01410"	837547	0	0	0	0	0	0
"AT1G01420"	837503	1	3	1	18	18	21
"AT1G01420"	837503	1	3	1	18	18	21
"AT1G01430"	837247	28	22	26	25	25	20
"AT1G01440"	837155	9	10	9	5	2	4
"AT1G01448"	NA	2	3	3	1	0	0
"AT1G01450"	837060	0	0	0	0	0	0
"AT1G01453"	6240388	0	0	0	0	0	0
"AT1G01453"	6240388	0	0	0	0	0	0
"AT1G01460"	839469	0	0	0	0	0	0
"AT1G01470"	837071	102	70	148	187	185	280
"AT1G01480"	837082	0	0	5	0	1	5
"AT1G01480"	837082	0	0	5	0	1	5
"AT1G01490"	839440	26	26	30	43	36	53
"AT1G01490"	839440	26	26	30	43	36	53
"AT1G01490"	839440	26	26	30	43	36	53
"AT1G01490"	839440	26	26	30	43	36	53
"AT1G01500"	839430	18	10	17	15	19	22
"AT1G01510"	839401	20	10	15	15	9	15
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01530"	837142	0	0	0	0	0	0
"AT1G01540"	839533	68	37	49	14	13	9
"AT1G01540"	839533	68	37	49	14	13	9
"AT1G01550"	839536	93	80	106	77	95	133
"AT1G01550"	839536	93	80	106	77	95	133
