Geneid	sub06	sub07	sub08	sub21	sub23	sub24
AT1G01010	0	0	6	6	3	10
AT1G01020	2	4	3	1	2	1
AT1G03987	0	0	0	0	0	0
AT1G01030	0	0	0	0	2	1
AT1G03993	0	0	0	0	0	0
AT1G01040	17	17	22	3	3	4
AT1G01046	0	0	0	0	0	0
ath-miR838	0	0	0	0	0	0
AT1G01050	16	23	15	21	22	30
AT1G03997	0	0	0	0	0	0
AT1G01060	0	0	1	0	0	2
AT1G01070	0	1	2	1	2	4
AT1G04003	0	0	0	0	0	0
AT1G01080	51	28	26	25	25	21
AT1G01090	108	90	103	30	46	32
AT1G01100	141	115	158	228	177	207
AT1G01110	4	3	1	3	2	3
AT1G01120	52	51	42	24	15	12
AT1G01130	1	1	1	3	0	0
AT1G01140	32	22	57	30	14	52
AT1G01150	0	0	0	0	0	1
AT1G01160	6	11	12	4	12	16
AT1G04007	0	0	0	0	0	0
AT1G01170	32	19	22	25	37	31
AT1G04013	0	0	0	0	0	0
AT1G01180	3	2	7	10	6	17
AT1G08765	0	0	0	0	0	0
AT1G01183	0	0	0	0	0	0
ath-miR165a-3p	0	0	0	0	0	0
ath-miR165a-5p	0	0	0	0	0	0
AT1G01190	2	2	0	5	4	11
AT1G01200	1	0	3	0	1	1
AT1G01210	0	2	0	1	3	3
AT1G04017	0	0	0	0	0	0
AT1G04023	0	0	0	0	0	0
AT1G01220	12	14	22	4	3	8
AT1G01225	1	3	0	0	2	0
AT1G01230	12	11	17	12	18	20
AT1G01240	29	16	37	11	14	15
AT1G01250	0	1	0	4	7	1
AT1G01260	9	5	16	5	2	8
AT1G01270	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0
AT1G01290	2	4	9	2	2	1
AT1G01300	49	47	52	19	29	45
AT1G01305	0	0	0	0	0	0
AT1G01310	0	0	0	0	0	0
AT1G01320	173	110	121	83	52	57
AT1G01335	0	0	0	0	0	0
AT1G01340	3	6	13	3	0	1
AT1G01350	9	12	13	4	3	8
AT1G01355	0	0	0	0	0	0
AT1G01360	7	4	12	9	9	9
AT1G01370	4	0	4	3	2	3
AT1G01380	0	0	0	0	1	0
AT1G01390	1	2	0	2	3	8
AT1G01400	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0
AT1G01420	1	3	1	18	18	21
AT1G01430	28	22	26	25	25	20
AT1G01440	9	10	9	5	2	4
AT1G01448	2	3	3	1	0	0
AT1G01450	0	0	0	0	0	0
AT1G01453	0	0	0	0	0	0
AT1G01460	0	0	0	0	0	0
AT1G01470	102	70	148	187	185	280
AT1G01480	0	0	5	0	1	5
AT1G01490	26	26	30	43	36	53
AT1G01500	18	10	17	15	19	22
AT1G01510	20	10	15	15	9	15
AT1G01520	0	0	0	1	0	0
AT1G01530	0	0	0	0	0	0
AT1G01540	68	37	49	14	13	9
AT1G01550	93	80	106	77	95	133
AT1G01560	5	8	6	2	1	2
AT1G01570	2	0	0	1	0	1
AT1G01580	0	1	1	0	1	1
AT1G01590	0	1	0	0	0	0
AT1G01600	4	4	4	5	8	11
AT1G01610	22	17	26	2	4	7
AT1G01620	289	235	259	219	280	161
AT1G01630	23	24	27	27	37	37
AT1G01640	0	1	2	2	0	1
AT1G01650	15	10	20	6	4	8
AT1G04027	0	0	0	0	0	0
ath-miR2112-3p	0	0	0	0	0	0
ath-miR2112-5p	0	0	0	0	0	0
AT1G01660	1	1	0	0	1	0
AT1G01670	1	0	2	0	0	2
AT1G01680	0	0	7	6	0	36
AT1G01690	5	4	2	1	1	4
AT1G01695	0	1	0	0	0	0
AT1G08775	0	0	0	0	0	0
AT1G04033	0	0	0	0	0	0
AT1G04037	0	0	0	0	1	1
AT1G01700	0	1	1	0	0	0
AT1G01710	18	10	13	5	13	8
AT1G01715	0	0	0	0	0	0
